"rt","stimulus","response","trial_type","trial_index","plugin_version","time_elapsed","word","color","congruent"
"681","
        <p>Hello!</p>
        <p>You will see color words (RED, BLUE, GREEN, YELLOW) displayed on the screen.</p>
        <p>The words will be shown in different colors.</p>
        <p>Your task: Press the key for the COLOR of the text</p>
        <br>
        <p>Key mapping:</p>
        <p><b>R</b> = Red | <b>B</b> = Blue | <b>G</b> = Green | <b>Y</b> = Yellow</p>
        <p><b>Answer as fast as you can!</b></p>
        <br>
        <p>Press any key to start.</p>
"106","<p style='color: yellow; font-size: 48px;'>GREEN</p>","b","html-keyboard-response","63","2.0.0","20986","GREEN","yellow","false"
"null","<p style='font-size: 48px;'>+</p>","null","html-keyboard-response","64","2.0.0","21490","","",""
"null","","null","html-keyboard-response","65","2.0.0","21696","","",""
"143","<p style='color: yellow; font-size: 48px;'>YELLOW</p>","b","html-keyboard-response","66","2.0.0","21839","YELLOW","yellow","true"
"null","<p style='font-size: 48px;'>+</p>","null","html-keyboard-response","67","2.0.0","22344","","",""
"null","","null","html-keyboard-response","68","2.0.0","22547","","",""
"119","<p style='color: red; font-size: 48px;'>YELLOW</p>","b","html-keyboard-response","69","2.0.0","22667","YELLOW","red","false"
"null","<p style='font-size: 48px;'>+</p>","null","html-keyboard-response","70","2.0.0","23173","","",""
"null","","null","html-keyboard-response","71","2.0.0","23380","","",""
"77","<p style='color: blue; font-size: 48px;'>YELLOW</p>","b","html-keyboard-response","72","2.0.0","23457","YELLOW","blue","false"
"null","<p style='font-size: 48px;'>+</p>","null","html-keyboard-response","73","2.0.0","23960","","",""
"null","","null","html-keyboard-response","74","2.0.0","24167","","",""
"97","<p style='color: blue; font-size: 48px;'>GREEN</p>","b","html-keyboard-response","75","2.0.0","24264","GREEN","blue","false"
"null","<p style='font-size: 48px;'>+</p>","null","html-keyboard-response","76","2.0.0","24772","","",""
"null","","null","html-keyboard-response","77","2.0.0","24979","","",""
"120","<p style='color: red; font-size: 48px;'>GREEN</p>","b","html-keyboard-response","78","2.0.0","25100","GREEN","red","false"
"null","<p style='font-size: 48px;'>+</p>","null","html-keyboard-response","79","2.0.0","25617","","",""
"null","","null","html-keyboard-response","80","2.0.0","25831","","",""
"46","<p style='color: green; font-size: 48px;'>YELLOW</p>","b","html-keyboard-response","81","2.0.0","25878","YELLOW","green","false"
"null","<p style='font-size: 48px;'>+</p>","null","html-keyboard-response","82","2.0.0","26395","","",""
"null","","null","html-keyboard-response","83","2.0.0","26597","","",""
"108","<p style='color: blue; font-size: 48px;'>GREEN</p>","b","html-keyboard-response","84","2.0.0","26706","GREEN","blue","false"
"null","<p style='font-size: 48px;'>+</p>","null","html-keyboard-response","85","2.0.0","27210","","",""
"null","","null","html-keyboard-response","86","2.0.0","27415","","",""
"157","<p style='color: green; font-size: 48px;'>BLUE</p>","b","html-keyboard-response","87","2.0.0","27573","BLUE","green","false"
"null","<p style='font-size: 48px;'>+</p>","null","html-keyboard-response","88","2.0.0","28076","","",""
"null","","null","html-keyboard-response","89","2.0.0","28280","","",""
"88","<p style='color: blue; font-size: 48px;'>YELLOW</p>","b","html-keyboard-response","90","2.0.0","28369","YELLOW","blue","false"
"null","<p style='font-size: 48px;'>+</p>","null","html-keyboard-response","91","2.0.0","28877","","",""
"null","","null","html-keyboard-response","92","2.0.0","29081","","",""
"62","<p style='color: green; font-size: 48px;'>RED</p>","b","html-keyboard-response","93","2.0.0","29144","RED","green","false"
"null","<p style='font-size: 48px;'>+</p>","null","html-keyboard-response","94","2.0.0","29657","","",""
"null","","null","html-keyboard-response","95","2.0.0","29864","","",""
"79","<p style='color: red; font-size: 48px;'>RED</p>","b","html-keyboard-response","96","2.0.0","29944","RED","red","true"
"null","<p style='font-size: 48px;'>+</p>","null","html-keyboard-response","97","2.0.0","30459","","",""
"null","","null","html-keyboard-response","98","2.0.0","30664","","",""
"86","<p style='color: blue; font-size: 48px;'>RED</p>","b","html-keyboard-response","99","2.0.0","30751","RED","blue","false"
"null","<p style='font-size: 48px;'>+</p>","null","html-keyboard-response","100","2.0.0","31259","","",""
"null","","null","html-keyboard-response","101","2.0.0","31465","","",""
"113","<p style='color: green; font-size: 48px;'>GREEN</p>","b","html-keyboard-response","102","2.0.0","31578","GREEN","green","true"
"null","<p style='font-size: 48px;'>+</p>","null","html-keyboard-response","103","2.0.0","32092","","",""
"null","","null","html-keyboard-response","104","2.0.0","32298","","",""
"77","<p style='color: yellow; font-size: 48px;'>GREEN</p>","b","html-keyboard-response","105","2.0.0","32375","GREEN","yellow","false"
"null","<p style='font-size: 48px;'>+</p>","null","html-keyboard-response","106","2.0.0","32891","","",""
"null","","null","html-keyboard-response","107","2.0.0","33099","","",""
"60","<p style='color: yellow; font-size: 48px;'>BLUE</p>","r","html-keyboard-response","108","2.0.0","33159","BLUE","yellow","false"
"null","<p style='font-size: 48px;'>+</p>","null","html-keyboard-response","109","2.0.0","33666","","",""
"null","","null","html-keyboard-response","110","2.0.0","33874","","",""
"25","<p style='color: green; font-size: 48px;'>GREEN</p>","y","html-keyboard-response","111","2.0.0","33900","GREEN","green","true"
"null","<p style='font-size: 48px;'>+</p>","null","html-keyboard-response","112","2.0.0","34413","","",""
"null","","null","html-keyboard-response","113","2.0.0","34616","","",""
"50882","<p style='color: red; font-size: 48px;'>BLUE</p>","b","html-keyboard-response","114","2.0.0","85499","BLUE","red","false"
"null","<p style='font-size: 48px;'>+</p>","null","html-keyboard-response","115","2.0.0","86000","","",""
"null","","null","html-keyboard-response","116","2.0.0","86209","","",""
"23","<p style='color: green; font-size: 48px;'>RED</p>","b","html-keyboard-response","117","2.0.0","86233","RED","green","false"
"null","<p style='font-size: 48px;'>+</p>","null","html-keyboard-response","118","2.0.0","86737","","",""
"null","","null","html-keyboard-response","119","2.0.0","86938","","",""
"215","<p style='color: blue; font-size: 48px;'>GREEN</p>","b","html-keyboard-response","120","2.0.0","87154","GREEN","blue","false"
"null","<p style='font-size: 48px;'>+</p>","null","html-keyboard-response","121","2.0.0","87670","","",""
"null","","null","html-keyboard-response","122","2.0.0","87876","","",""
"263","<p style='color: blue; font-size: 48px;'>BLUE</p>","b","html-keyboard-response","123","2.0.0","88140","BLUE","blue","true"
"null","<p style='font-size: 48px;'>+</p>","null","html-keyboard-response","124","2.0.0","88641","","",""
"null","","null","html-keyboard-response","125","2.0.0","88843","","",""
"73","<p style='color: red; font-size: 48px;'>GREEN</p>","b","html-keyboard-response","126","2.0.0","88917","GREEN","red","false"
"null","<p style='font-size: 48px;'>+</p>","null","html-keyboard-response","127","2.0.0","89423","","",""
"null","","null","html-keyboard-response","128","2.0.0","89627","","",""
"133","<p style='color: yellow; font-size: 48px;'>RED</p>","b","html-keyboard-response","129","2.0.0","89760","RED","yellow","false"
"null","<p style='font-size: 48px;'>+</p>","null","html-keyboard-response","130","2.0.0","90267","","",""
"null","","null","html-keyboard-response","131","2.0.0","90477","","",""
"150","<p style='color: yellow; font-size: 48px;'>BLUE</p>","b","html-keyboard-response","132","2.0.0","90627","BLUE","yellow","false"
"null","<p style='font-size: 48px;'>+</p>","null","html-keyboard-response","133","2.0.0","91140","","",""
"null","","null","html-keyboard-response","134","2.0.0","91343","","",""
"64","<p style='color: green; font-size: 48px;'>BLUE</p>","b","html-keyboard-response","135","2.0.0","91408","BLUE","green","false"
"null","<p style='font-size: 48px;'>+</p>","null","html-keyboard-response","136","2.0.0","91910","","",""
"null","","null","html-keyboard-response","137","2.0.0","92112","","",""
"142","<p style='color: red; font-size: 48px;'>YELLOW</p>","b","html-keyboard-response","138","2.0.0","92255","YELLOW","red","false"
"null","<p style='font-size: 48px;'>+</p>","null","html-keyboard-response","139","2.0.0","92765","","",""
"null","","null","html-keyboard-response","140","2.0.0","92977","","",""
"91","<p style='color: yellow; font-size: 48px;'>BLUE</p>","b","html-keyboard-response","141","2.0.0","93069","BLUE","yellow","false"
"null","<p style='font-size: 48px;'>+</p>","null","html-keyboard-response","142","2.0.0","93570","","",""
"null","","null","html-keyboard-response","143","2.0.0","93777","","",""
"61","<p style='color: red; font-size: 48px;'>RED</p>","y","html-keyboard-response","144","2.0.0","93839","RED","red","true"
